Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.214526,0.948162,0.330820,1.026876,71.206337,77.251205
0.0168520,0.244057,0.979280,0.300801,1.053107,73.403389,76.005760
0.0268360,0.216235,0.928638,0.323986,1.007022,71.232605,76.892159
0.0369890,0.165715,0.873603,0.341070,0.952351,69.014305,79.259102
0.0469390,0.137526,0.866769,0.335701,0.939626,69.067337,80.984299
0.0570920,0.127764,0.873481,0.317030,0.937977,70.245308,81.678360
0.0669440,0.141187,0.897154,0.293479,0.954437,72.092026,81.056587
0.0770880,0.159857,0.917777,0.291282,0.976071,72.637077,80.119408
0.0869520,0.180724,0.925221,0.300679,0.989496,72.309792,78.947517
0.0970540,0.204520,0.937790,0.317885,1.011103,71.675774,77.697159
0.1070390,0.211232,0.952922,0.330331,1.030435,71.302322,77.501495
0.1176740,0.202079,0.955362,0.334602,1.032236,71.085732,78.056770
0.1270130,0.166691,0.918509,0.335579,0.991997,70.227524,79.713913
0.1371070,0.149119,0.892395,0.358520,0.973212,68.383743,80.513542
0.1469350,0.169742,0.911920,0.389881,1.006190,67.202019,79.455818
0.1568630,0.222946,0.974277,0.390858,1.073168,68.641075,77.110779
0.1669160,0.270171,1.039074,0.369625,1.135469,71.002548,75.425156
0.1769430,0.217577,1.011373,0.357300,1.094476,70.946114,77.858986
0.1870070,0.124469,0.903744,0.359740,0.980642,68.479034,82.158203
0.1970700,0.110680,0.874701,0.356080,0.950865,68.007858,82.788429
0.2077610,0.172426,0.927173,0.337165,1.001530,70.327087,79.465057
0.2175940,0.243447,0.979158,0.350466,1.068102,70.845268,76.037704
0.2269190,0.296408,1.012471,0.364744,1.116241,70.927727,73.682266
0.2370640,0.287499,1.006736,0.370845,1.110720,70.495682,74.061943
0.2477330,0.231122,0.973178,0.360473,1.063219,70.181664,76.640205
0.2571510,0.167667,0.937668,0.339972,1.011392,70.357979,79.861908
0.2669630,0.120320,0.915337,0.315444,0.975614,71.135658,82.511452
0.2771040,0.090423,0.906551,0.292137,0.956741,72.221054,84.303917
0.2870990,0.084810,0.913140,0.279568,0.958737,73.046234,84.693748
0.2972720,0.101406,0.929492,0.273466,0.974178,73.697128,83.773766
0.3078960,0.127032,0.947308,0.275419,0.994678,73.925194,82.362335
0.3175810,0.154488,0.961219,0.284693,1.014327,73.699715,80.869446
0.3281130,0.175599,0.970738,0.294699,1.029570,73.367310,79.746498
0.3370640,0.183531,0.970250,0.306536,1.033940,72.754082,79.288567
0.3468870,0.180358,0.958779,0.318251,1.026192,71.933067,79.346443
0.3570020,0.171816,0.941207,0.326427,1.010913,71.161446,79.654633
0.3671920,0.167545,0.928760,0.333138,1.000823,70.557297,79.774010
0.3770560,0.171816,0.926563,0.337165,1.000860,70.313377,79.494743
0.3876130,0.178406,0.928028,0.338263,1.003736,70.305534,79.118103
0.3993500,0.184751,0.930712,0.342534,1.008805,70.150871,78.772438
0.4078890,0.187802,0.934861,0.342290,1.013113,70.253456,78.641174
0.4174230,0.196100,0.946454,0.337531,1.023796,70.750275,78.294266
0.4271060,0.195978,0.952555,0.333016,1.027944,71.097221,78.374237
0.4381930,0.185239,0.943159,0.326305,1.015056,71.248474,78.888359
0.4469370,0.169254,0.921926,0.327525,0.992909,70.739479,79.597076
0.4570800,0.174379,0.921438,0.334847,0.995780,70.350494,79.283707
0.4673540,0.175721,0.913750,0.336555,0.989488,70.115189,79.114471
0.4776210,0.187070,0.919852,0.335945,0.996986,70.308212,78.504555
0.4870520,0.195490,0.926929,0.335579,1.005001,70.493805,78.090813
0.4971180,0.196954,0.931811,0.332894,1.008901,70.733818,78.065216
0.5070690,0.197564,0.940963,0.325816,1.015184,71.280022,78.142426
0.5177050,0.178650,0.928150,0.318251,0.997327,71.391273,79.104973
0.5274620,0.163640,0.905086,0.312637,0.971443,71.226501,79.751587
0.5376360,0.170474,0.897032,0.317396,0.966679,70.832138,79.239700
0.5469940,0.186460,0.909723,0.321179,0.982609,70.921463,78.416901
0.5570840,0.194392,0.925221,0.317885,0.997433,71.415512,78.134575
0.5678120,0.190243,0.932421,0.310807,1.001100,71.912727,78.468170
0.5775170,0.179138,0.930468,0.304705,0.995343,72.173767,79.102493
0.5876099,0.169132,0.924611,0.305194,0.988258,72.011887,79.633942
0.5981720,0.163030,0.924733,0.306170,0.987649,71.940849,80.001511
0.6072540,0.164861,0.928028,0.307756,0.991528,71.917526,79.926704
